ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
74;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;n/a;yes;yes;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;21-30;26-30;27;m
75;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;no;no;no;yes;once;no;no;no;no;31-40;36-40;36;w
76;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;>60;61-70;70;w
77;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;>60;61-70;70;m
78;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;>60;61-70;64;w
79;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;41-50;41-45;45;w
80;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;no;no;no;yes;once;no;no;no;no;11-20;16-20;18;m
81;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;once;no;no;no;no;yes;once;no;yes;once;yes;11-20;10-15;15;w
82;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;yes;sometimes;no;51-60;51-55;54;w
83;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often2;often;often;yes;often;no;no;no;no;no;no;often;yes;often;no;11-20;10-15;14;m
84;<5;<5;<6;<7;3;no;no;no;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;17;m
85;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;yes;once;no;11-20;16-20;19;m
86;7-8;7;6-9;7-8;7;n/a;n/a;n/a;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;yes;sometimes;no;11-20;16-20;17;m
87;7-8;7;6-9;7-8;7;no;no;no;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;26;w
88;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;26-30;27;m
89;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;26;m
90;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;19;m
91;5-6;6;6-9;<7;6;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;yes;11-20;16-20;17;m
92;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;17;w
93;<5;<5;<6;<7;4;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;yes;once;no;yes;once;yes;21-30;21-25;24;m
94;9-10;10;>9;>8;10;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;51-60;56-60;58;w
95;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;no;11-20;10-15;14;w
96;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;10-15;15;m
97;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;no;no;yes;31-40;31-35;31;w
