ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
912,6,often,often,often,often,no,often,yes,33,m
909,7,sometimes,sometimes,sometimes,no,no,once,yes,33,m
316,4,no,no,no,no,no,no,no,32,m
826,5,often,often,sometimes,no,often,often,no,32,m
195,7,often,often,sometimes,sometimes,no,sometimes,no,32,m
582,7,often,sometimes,sometimes,no,no,no,yes,32,m
567,8,often,sometimes,sometimes,sometimes,no,no,yes,32,m
35,6,sometimes,often,sometimes,no,no,often,no,31,m
584,5,often,no,no,no,no,no,yes,31,m
342,8,sometimes,no,no,no,no,no,yes,31,m
376,8,no,sometimes,no,sometimes,no,no,yes,31,m
361,8,often,sometimes,no,sometimes,no,no,yes,31,m
204,8,often,sometimes,sometimes,sometimes,no,no,yes,31,m
669,6,often,sometimes,sometimes,no,no,sometimes,yes,31,m
414,8,often,sometimes,sometimes,once,no,sometimes,yes,31,m
281,8,often,often,sometimes,sometimes,sometimes,sometimes,yes,31,m
406,6,often,often,often,no,no,no,no,30,m
270,8,no,once,no,no,once,no,no,30,m
825,7,often,often,no,no,no,often,no,30,m
415,7,sometimes,sometimes,sometimes,no,no,no,yes,30,m
434,6,sometimes,often,once,often,no,no,yes,30,m
320,5,sometimes,sometimes,sometimes,no,once,no,yes,30,m
522,6,sometimes,often,no,once,sometimes,often,yes,30,m
678,6,often,often,often,no,no,once,yes,30,m
879,6,sometimes,sometimes,no,no,no,sometimes,yes,30,m
731,3,often,often,no,sometimes,sometimes,sometimes,yes,30,m
803,7,often,often,sometimes,sometimes,sometimes,sometimes,yes,30,m
446,5,often,once,once,no,no,no,no,29,m
481,7,often,sometimes,sometimes,no,sometimes,no,no,29,m
375,8,often,no,no,no,no,no,yes,29,m
886,3,sometimes,often,often,sometimes,no,no,yes,29,m
609,5,often,sometimes,sometimes,no,no,once,yes,29,m
337,8,no,no,no,no,no,no,no,28,m
322,8,often,often,often,no,no,no,no,28,m
696,6,sometimes,sometimes,no,sometimes,no,no,no,28,m
739,7,often,sometimes,sometimes,sometimes,no,no,no,28,m
379,5,often,once,no,no,once,no,no,28,m
382,5,often,sometimes,sometimes,no,no,once,no,28,m
419,8,no,no,no,no,no,no,yes,28,m
256,5,often,often,often,sometimes,no,no,yes,28,m
23,4,sometimes,sometimes,sometimes,sometimes,no,no,yes,28,m
436,5,often,sometimes,sometimes,no,sometimes,no,yes,28,m
249,7,no,often,often,once,sometimes,no,yes,28,m
439,6,often,sometimes,no,no,no,sometimes,yes,28,m
410,5,often,sometimes,once,no,no,sometimes,yes,28,m
438,6,often,sometimes,sometimes,no,no,sometimes,yes,28,m
454,8,often,often,sometimes,no,sometimes,sometimes,yes,28,m
787,6,sometimes,sometimes,yes,no,no,yes,yes,28,m
335,7,sometimes,sometimes,sometimes,no,no,no,no,27,m
692,7,sometimes,often,often,sometimes,no,no,no,27,m
365,6,sometimes,sometimes,once,sometimes,no,no,no,27,m
73,7,sometimes,no,no,no,no,no,yes,27,m
786,8,sometimes,no,no,no,no,no,yes,27,m
965,7,sometimes,sometimes,sometimes,once,no,no,yes,27,m
88,8,sometimes,sometimes,no,sometimes,no,no,yes,27,m
74,8,often,sometimes,yes,sometimes,sometimes,no,yes,27,m
806,6,often,often,sometimes,sometimes,sometimes,often,yes,27,m
908,6,sometimes,often,often,once,no,once,yes,27,m
905,6,often,sometimes,sometimes,once,no,once,yes,27,m
404,8,no,once,once,no,no,no,no,26,m
381,8,sometimes,sometimes,no,sometimes,no,no,no,26,m
387,7,often,often,often,sometimes,no,no,no,26,m
955,5,sometimes,often,often,sometimes,no,no,no,26,m
693,7,sometimes,often,often,no,once,no,no,26,m
396,6,often,sometimes,sometimes,sometimes,once,once,no,26,m
612,6,often,often,often,often,no,sometimes,no,26,m
941,8,sometimes,often,sometimes,no,sometimes,sometimes,no,26,m
89,7,often,no,no,no,no,no,yes,26,m
435,6,no,sometimes,sometimes,no,no,no,yes,26,m
64,7,sometimes,sometimes,no,sometimes,no,no,yes,26,m
677,7,often,often,often,often,no,often,yes,26,m
426,10,often,often,sometimes,sometimes,no,often,yes,26,m
440,6,sometimes,once,no,no,no,once,yes,26,m
948,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,26,m
613,3,sometimes,sometimes,once,sometimes,no,sometimes,yes,26,m
870,8,often,often,sometimes,sometimes,no,sometimes,yes,26,m
63,8,often,no,no,no,no,no,no,25,m
52,5,often,once,once,no,no,no,yes,25,m
746,8,often,sometimes,sometimes,no,no,no,yes,25,m
16,6,often,sometimes,once,once,once,no,yes,25,m
259,6,often,once,no,no,no,once,yes,25,m
139,7,often,sometimes,sometimes,no,no,sometimes,yes,25,m
412,7,often,sometimes,sometimes,no,no,sometimes,yes,25,m
41,7,yes,often,yes,often,no,yes,yes,25,m
43,7,sometimes,sometimes,sometimes,sometimes,no,yes,yes,25,m
30,6,yes,sometimes,yes,yes,no,yes,yes,25,m
21,7,sometimes,often,often,sometimes,no,no,no,24,m
467,9,often,often,often,no,no,often,no,24,m
218,6,sometimes,once,no,no,no,once,no,24,m
324,8,often,often,often,no,no,sometimes,no,24,m
197,10,sometimes,often,sometimes,often,no,sometimes,no,24,m
550,5,no,no,no,no,no,no,yes,24,m
891,5,sometimes,sometimes,sometimes,no,no,no,yes,24,m
290,6,often,sometimes,sometimes,once,no,no,yes,24,m
19,6,often,often,often,no,no,once,yes,24,m
93,4,sometimes,often,often,no,once,once,yes,24,m
505,4,often,no,no,no,no,no,no,23,m
355,7,sometimes,no,no,no,no,no,no,23,m
684,5,often,often,often,no,no,no,no,23,m
859,8,sometimes,sometimes,sometimes,no,no,no,no,23,m
774,7,sometimes,often,often,often,no,no,no,23,m
22,6,often,sometimes,sometimes,no,no,once,no,23,m
889,5,sometimes,sometimes,no,sometimes,once,once,no,23,m
858,10,sometimes,sometimes,no,sometimes,no,sometimes,no,23,m
504,5,sometimes,no,no,no,no,no,yes,23,m
721,5,often,often,often,no,no,no,yes,23,m
230,4,no,once,no,once,no,no,yes,23,m
397,8,often,sometimes,once,once,no,no,yes,23,m
400,6,sometimes,sometimes,no,once,once,no,yes,23,m
892,7,often,sometimes,sometimes,sometimes,sometimes,no,yes,23,m
409,6,often,often,once,often,no,once,yes,23,m
291,8,sometimes,once,no,once,no,no,no,22,m
147,3,often,often,often,often,often,once,no,22,m
863,6,sometimes,sometimes,no,no,no,sometimes,no,22,m
68,7,sometimes,no,no,no,no,no,yes,22,m
893,2,sometimes,sometimes,sometimes,no,no,no,yes,22,m
